Position,Name,Year,LetterboxdURI,Description
385,"Girl, Interrupted",1999,https://boxd.it/25ds,
386,Arrival,2016,https://boxd.it/aNGk,
387,The Seventh Seal,1957,https://boxd.it/2ahO,
388,Airplane!,1980,https://boxd.it/29yu,
389,Wavelength,1967,https://boxd.it/37ZA,
390,[REC],2007,https://boxd.it/20ma,
391,Come Drink with Me,1966,https://boxd.it/1uf2,
392,Quest for Fire,1981,https://boxd.it/bRu,
393,Dog Day Afternoon,1975,https://boxd.it/29bg,
394,"Spring, Summer, Fall, Winter... and Spring",2003,https://boxd.it/2b6W,
395,Pariah,2011,https://boxd.it/2wWk,
396,Belle de Jour,1967,https://boxd.it/29Uq,
397,Civil War,2024,https://boxd.it/z1jW,
398,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
399,Shane,1953,https://boxd.it/25Ig,
400,Fantastic Planet,1973,https://boxd.it/1KnQ,
401,In the Heat of the Night,1967,https://boxd.it/1VLY,
402,The Boy Friend,1971,https://boxd.it/1iVq,
403,Good Will Hunting,1997,https://boxd.it/2ahY,
404,Citizen Kane,1941,https://boxd.it/71O,
405,Once Upon a Time in America,1984,https://boxd.it/2aCs,
406,Be Kind Rewind,2008,https://boxd.it/23Au,
407,In Bruges,2008,https://boxd.it/20n8,
408,John Wick,2014,https://boxd.it/7dEc,
409,Midsommar,2019,https://boxd.it/jhxe,
410,The Blob,1988,https://boxd.it/1YgY,
411,Devilman Crybaby,2018,https://boxd.it/muwa,
412,Basic Instinct,1992,https://boxd.it/2asM,
413,Office Space,1999,https://boxd.it/28Em,
414,Star Wars,1977,https://boxd.it/72s,
415,Little Shop of Horrors,1986,https://boxd.it/1Vqm,
416,Harakiri,1962,https://boxd.it/1NTU,
417,Fauve,2018,https://boxd.it/ifik,
418,Black Girl,1966,https://boxd.it/3jIQ,
419,Morvern Callar,2002,https://boxd.it/1GDU,
420,Boss Nigger,1974,https://boxd.it/1sUW,
421,Freaks,1932,https://boxd.it/2b3o,
422,The Garden of Words,2013,https://boxd.it/5Ymq,
423,Rope,1948,https://boxd.it/28yo,
424,Bicycle Thieves,1948,https://boxd.it/23hW,
425,Mary and Max,2009,https://boxd.it/1y2m,
426,A Man Escaped,1956,https://boxd.it/1MzY,
427,Talk to Me,2022,https://boxd.it/C6uQ,
428,The Body Remembers When the World Broke Open,2019,https://boxd.it/l8Wo,
429,The Fool,2014,https://boxd.it/8QXu,
430,The Girl with the Dragon Tattoo,2009,https://boxd.it/1Mb8,
431,Casino Royale,2006,https://boxd.it/1alk,
432,How Green Was My Valley,1941,https://boxd.it/UV2,
433,Big Fish,2003,https://boxd.it/2a3M,
434,Winter Sleep,2014,https://boxd.it/7Ua0,
435,The Babadook,2014,https://boxd.it/77xu,
436,Phantom of the Paradise,1974,https://boxd.it/1s34,
437,X-Men,2000,https://boxd.it/1a7s,
438,Japón,2002,https://boxd.it/1b4Y,
439,Manhunter,1986,https://boxd.it/1TOw,
440,I Walked with a Zombie,1943,https://boxd.it/1stm,
441,I Saw the Devil,2010,https://boxd.it/FaK,
442,Kicks,2016,https://boxd.it/drMQ,
443,Nomadland,2020,https://boxd.it/lnRy,
444,Magnetic Rose,1995,https://boxd.it/DEsQ,
445,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,
446,Brain Damage,1988,https://boxd.it/1qUU,
447,Suspiria,1977,https://boxd.it/1SNW,
448,Marriage Story,2019,https://boxd.it/hJAw,
449,Kaili Blues,2015,https://boxd.it/cksW,
450,"Kumiko, the Treasure Hunter",2014,https://boxd.it/7bqC,
451,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
452,"Throw Away Your Books, Rally in the Streets",1971,https://boxd.it/3yio,
453,13th,2016,https://boxd.it/elNg,
454,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
455,99 Francs,2007,https://boxd.it/1ZNY,
456,Pather Panchali,1955,https://boxd.it/22yC,
457,Trainspotting,1996,https://boxd.it/29XY,
458,Timecrimes,2007,https://boxd.it/1OGM,
459,The Big Lebowski,1998,https://boxd.it/2b6C,
460,Uncut Gems,2019,https://boxd.it/gXGc,
461,Nightcrawler,2014,https://boxd.it/780m,
462,The Handmaiden,2016,https://boxd.it/948A,
463,Too Many Cooks,2014,https://boxd.it/9AIK,
464,Dark Waters,1993,https://boxd.it/2sK,
465,Seconds,1966,https://boxd.it/1Dbe,
466,Lie Detector,2011,https://boxd.it/d2FA,
467,Safe,1995,https://boxd.it/1gKU,
468,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,
469,The Driver,1978,https://boxd.it/27jW,
470,Alice in Wonderland,1951,https://boxd.it/1Sz6,
471,Black Hawk Down,2001,https://boxd.it/29rI,
472,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
473,Gummo,1997,https://boxd.it/1H0Y,
474,The Second Journey (To Uluru),1981,https://boxd.it/lgEM,
475,Stink Bomb,1995,https://boxd.it/NUog,
476,The Ugly Stepsister,2025,https://boxd.it/MZBM,
477,Triangle of Sadness,2022,https://boxd.it/hXlq,
478,Baraka,1992,https://boxd.it/1OWA,
479,The Co-op Wars,2021,https://boxd.it/vdku,
480,Lady Bird,2017,https://boxd.it/dGNE,
481,Captain Phillips,2013,https://boxd.it/3GPK,
482,Lady and the Tramp,1955,https://boxd.it/1Wv8,
483,Barbarella,1968,https://boxd.it/20Ba,
484,Wet Hot American Summer,2001,https://boxd.it/27hw,
485,Dumb and Dumber,1994,https://boxd.it/206m,
486,The Lighthouse,2019,https://boxd.it/icFU,
487,Icarus,2017,https://boxd.it/fmje,
488,Cabaret,1972,https://boxd.it/1Vpe,
489,Fresh Guacamole,2012,https://boxd.it/4y9S,
490,Exit Through the Gift Shop,2010,https://boxd.it/13E0,
491,They Live,1988,https://boxd.it/20lm,
492,Midnight Cowboy,1969,https://boxd.it/25Hi,
493,Top Gun,1986,https://boxd.it/29JC,
494,Prologue,2015,https://boxd.it/ccik,
495,"Monsters, Inc.",2001,https://boxd.it/2a46,
496,All About Eve,1950,https://boxd.it/29LI,
497,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,
498,The Dark Knight,2008,https://boxd.it/2b0k,
499,Edge of Tomorrow,2014,https://boxd.it/4pD0,
500,Gasman,1998,https://boxd.it/FWO,
501,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,https://boxd.it/1TZk,
502,Please Speak Continuously and Describe Your Experiences as They Come to You,2019,https://boxd.it/m00S,
503,"Paris, Texas",1984,https://boxd.it/29Ts,
504,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,
505,Mirror,1975,https://boxd.it/28Q8,
506,"Beep, Beep",1952,https://boxd.it/eDoI,
